maximum_temperature,seasonal_normal_temperature,temp_deviation,relative_humidity,wind_speed,forecast_weather_data,heatwave_label
35.8,36.9,-1.1,33.9,24.1,36.1,Normal
32.4,39.8,-7.4,22.8,19.8,32.3,Normal
38.2,38.7,-0.4,76.7,22.8,38.5,Normal
42.2,38.0,4.2,38.8,7.4,44.1,Normal
38.7,35.8,2.9,46.6,6.5,39.6,Normal
38.3,35.8,2.5,26.9,2.1,38.3,Normal
35.3,35.3,0.0,70.2,18.3,33.9,Normal
35.9,39.3,-3.5,21.7,23.6,35.4,Normal
40.8,38.0,2.8,70.0,6.3,41.5,Normal
36.6,38.5,-1.9,28.4,16.6,35.4,Normal
43.7,35.1,8.6,73.2,19.2,45.9,Severe Heatwave
42.8,39.8,3.0,63.8,23.3,42.9,Normal
38.1,39.2,-1.0,29.9,16.9,38.2,Normal
34.9,36.1,-1.1,53.9,24.3,34.3,Normal
36.6,35.9,0.7,38.8,9.9,37.1,Normal
36.1,35.9,0.2,30.7,10.0,34.9,Normal
41.4,36.5,4.9,71.6,14.5,43.6,Heatwave
39.3,37.6,1.7,44.2,10.8,40.6,Normal
35.6,37.2,-1.6,43.9,2.0,36.6,Normal
44.1,36.5,7.6,30.2,18.8,42.7,Severe Heatwave
39.2,38.1,1.2,43.0,19.3,39.4,Normal
39.4,35.7,3.7,72.3,19.2,40.6,Normal
35.3,36.5,-1.1,41.8,9.9,35.9,Normal
39.1,36.8,2.3,77.1,14.0,38.1,Normal
39.4,37.3,2.1,76.8,10.3,38.7,Normal
33.3,38.9,-5.6,28.7,2.4,32.9,Normal
44.1,36.0,8.1,30.6,14.9,43.4,Severe Heatwave
43.1,37.6,5.5,71.8,4.8,44.6,Heatwave
37.6,38.0,-0.4,43.6,3.8,35.7,Normal
32.4,35.2,-2.9,20.3,19.4,33.0,Normal
40.3,38.0,2.2,36.4,2.2,39.0,Normal
37.2,35.9,1.3,55.9,24.1,36.2,Normal
37.6,35.3,2.2,68.0,13.9,35.6,Normal
41.4,39.7,1.7,28.0,24.6,40.9,Normal
42.6,39.8,2.8,26.6,3.3,44.1,Normal
45.1,39.0,6.1,75.3,15.4,45.4,Heatwave
39.5,36.5,3.0,65.1,10.0,38.3,Normal
32.8,35.5,-2.7,55.4,21.4,33.8,Normal
44.2,38.4,5.8,66.2,10.3,45.4,Heatwave
43.9,37.2,6.7,45.7,8.0,44.0,Severe Heatwave
47.6,35.6,12.0,65.5,21.7,49.7,Severe Heatwave
34.5,37.5,-2.9,42.3,10.6,35.4,Normal
37.0,35.2,1.9,34.6,2.4,37.7,Normal
33.3,39.5,-6.3,63.7,11.0,32.5,Normal
39.2,36.3,2.9,45.2,17.1,39.9,Normal
37.4,38.3,-0.9,78.9,7.9,37.6,Normal
44.3,36.6,7.7,41.0,11.9,44.8,Severe Heatwave
35.9,37.6,-1.7,75.3,3.3,35.2,Normal
32.8,37.7,-4.9,76.0,15.5,32.9,Normal
35.3,35.9,-0.6,34.5,19.4,34.5,Normal
33.9,39.8,-5.9,67.9,11.5,31.8,Normal
42.5,38.9,3.6,46.0,11.7,43.5,Normal
33.5,39.7,-6.2,75.1,4.0,32.0,Normal
40.6,39.5,1.1,47.0,6.6,40.7,Normal
31.7,38.0,-6.3,64.7,5.6,32.1,Normal
39.5,39.6,-0.1,48.0,13.1,39.8,Normal
42.2,35.4,6.8,33.7,14.2,41.9,Severe Heatwave
38.2,36.0,2.3,32.0,23.8,38.5,Normal
33.2,35.2,-2.0,45.5,3.7,33.7,Normal
37.5,36.6,0.9,65.3,15.8,38.3,Normal
38.0,36.9,1.1,56.3,14.1,39.7,Normal
39.0,36.4,2.7,61.3,13.9,39.2,Normal
35.4,39.1,-3.8,36.9,22.1,35.4,Normal
39.9,36.8,3.1,48.9,6.7,39.0,Normal
27.9,36.4,-8.5,22.7,2.9,28.4,Normal
36.5,37.7,-1.2,69.1,17.5,37.2,Normal
35.0,35.7,-0.7,79.4,9.9,34.8,Normal
42.2,39.0,3.2,44.4,2.4,42.8,Normal
36.5,35.4,1.1,20.7,7.8,36.2,Normal
36.0,39.9,-3.9,30.2,9.1,36.7,Normal
36.4,38.9,-2.4,59.2,16.2,37.3,Normal
37.7,36.0,1.7,56.7,6.0,38.6,Normal
35.8,35.0,0.7,67.3,11.5,35.9,Normal
38.1,39.1,-1.0,35.2,13.1,37.0,Normal
37.9,38.5,-0.7,65.8,12.6,37.2,Normal
42.1,38.6,3.4,61.3,24.4,42.7,Normal
38.0,38.9,-0.8,39.4,3.0,40.5,Normal
36.1,35.4,0.7,52.7,23.9,35.7,Normal
45.4,36.8,8.6,28.8,15.4,45.8,Severe Heatwave
31.6,35.6,-4.0,47.2,20.3,31.0,Normal
33.8,39.3,-5.5,72.9,11.9,32.9,Normal
41.9,38.1,3.7,45.3,12.4,41.2,Normal
35.3,36.7,-1.4,70.4,22.2,33.2,Normal
35.2,35.3,-0.1,55.4,22.6,36.6,Normal
34.8,36.6,-1.7,31.5,7.5,32.6,Normal
36.7,36.6,0.1,54.9,6.6,36.5,Normal
45.2,38.6,6.6,50.4,13.4,44.1,Severe Heatwave
42.0,38.2,3.8,43.9,22.7,41.1,Normal
43.5,39.4,4.0,27.2,9.4,44.8,Normal
33.4,37.4,-4.0,45.0,17.0,33.6,Normal
32.6,35.6,-3.0,24.4,18.3,31.6,Normal
29.6,38.6,-8.9,25.9,19.9,29.0,Normal
37.0,38.8,-1.8,45.0,15.0,36.2,Normal
42.2,37.8,4.3,38.3,11.3,42.1,Normal
41.7,38.9,2.8,75.5,24.2,41.8,Normal
37.7,37.5,0.2,42.5,16.1,39.6,Normal
38.5,37.6,0.9,65.5,18.8,36.6,Normal
35.7,37.1,-1.4,51.8,9.9,35.7,Normal
36.8,35.1,1.7,62.2,17.4,36.5,Normal
39.2,35.5,3.7,35.6,7.9,40.2,Normal
30.5,35.2,-4.7,76.5,7.6,30.9,Normal
40.2,38.2,2.0,51.8,18.4,40.8,Normal
40.8,36.6,4.3,69.9,14.0,41.2,Normal
37.1,37.5,-0.5,41.9,17.7,36.2,Normal
43.0,39.5,3.5,26.0,8.2,44.2,Normal
47.1,36.2,10.9,60.4,15.8,47.9,Severe Heatwave
37.7,37.1,0.6,20.5,12.2,38.6,Normal
41.2,38.8,2.4,48.5,15.7,42.4,Normal
34.6,36.1,-1.6,31.6,8.7,35.0,Normal
37.0,35.4,1.6,57.6,18.5,38.5,Normal
39.1,36.4,2.6,78.8,20.5,39.4,Normal
37.5,35.8,1.7,47.9,8.0,37.3,Normal
37.1,39.6,-2.6,69.0,8.9,37.1,Normal
40.8,39.0,1.7,50.5,17.2,40.7,Normal
44.3,38.2,6.1,49.8,18.0,43.8,Heatwave
41.9,39.4,2.6,75.8,18.2,43.6,Normal
43.4,39.0,4.4,73.4,17.7,43.7,Normal
36.1,35.9,0.2,67.1,11.0,36.2,Normal
43.1,39.5,3.6,37.8,11.1,43.5,Normal
39.7,37.7,2.0,52.7,7.9,42.7,Normal
36.7,39.0,-2.3,33.4,5.6,35.6,Normal
41.6,39.5,2.1,46.6,17.9,40.8,Normal
34.1,36.6,-2.5,49.1,4.1,32.7,Normal
34.3,35.6,-1.2,69.9,23.6,34.1,Normal
37.8,36.1,1.7,73.8,21.0,38.0,Normal
39.2,37.1,2.0,44.9,21.7,38.7,Normal
35.9,39.1,-3.2,21.1,22.9,35.4,Normal
44.0,39.3,4.7,71.7,11.4,44.1,Heatwave
38.0,35.0,3.0,30.5,21.5,37.5,Normal
36.1,37.6,-1.5,57.3,5.6,36.4,Normal
32.7,37.1,-4.4,21.5,2.5,33.8,Normal
36.6,36.1,0.5,44.0,20.1,37.3,Normal
35.0,35.6,-0.6,79.2,3.7,35.9,Normal
38.1,36.7,1.4,26.0,24.7,39.2,Normal
39.4,39.7,-0.3,45.4,17.5,39.7,Normal
30.6,36.6,-6.0,38.4,19.3,30.4,Normal
37.2,37.6,-0.4,74.3,7.7,36.5,Normal
38.4,38.5,-0.1,72.2,17.5,38.1,Normal
40.0,36.8,3.2,34.3,3.0,39.5,Normal
38.4,39.9,-1.4,24.9,21.3,39.1,Normal
46.7,39.8,6.9,57.6,5.9,47.0,Severe Heatwave
30.6,36.3,-5.7,40.2,18.0,31.3,Normal
43.1,37.5,5.6,60.3,7.2,41.9,Heatwave
36.7,36.5,0.2,21.9,3.6,38.2,Normal
40.4,36.4,4.0,28.0,13.1,40.0,Normal
36.5,35.2,1.3,61.2,5.9,35.4,Normal
43.0,38.0,5.0,32.7,18.8,42.6,Heatwave
37.2,37.5,-0.4,71.5,7.5,39.6,Normal
32.4,35.3,-2.8,23.5,9.9,32.0,Normal
42.4,36.4,6.0,32.9,15.1,42.0,Heatwave
40.1,39.5,0.6,79.9,8.6,40.0,Normal
38.0,36.2,1.8,46.0,10.7,37.8,Normal
41.0,35.7,5.3,62.2,20.8,40.3,Heatwave
34.8,37.4,-2.6,31.0,6.1,35.0,Normal
43.0,39.9,3.1,56.6,3.9,44.1,Normal
35.1,36.2,-1.1,63.6,9.6,35.5,Normal
38.9,38.4,0.5,38.9,11.8,37.8,Normal
40.1,38.8,1.3,69.7,14.5,39.7,Normal
31.9,36.2,-4.3,56.2,10.6,31.4,Normal
36.9,38.6,-1.7,43.3,20.2,37.0,Normal
42.6,36.8,5.7,53.5,2.9,43.9,Heatwave
42.3,38.2,4.1,54.6,11.9,42.1,Normal
38.9,38.2,0.8,29.9,10.8,38.9,Normal
39.5,37.7,1.9,44.2,16.9,41.3,Normal
35.4,35.5,-0.0,40.6,24.2,36.3,Normal
44.9,39.2,5.7,44.1,13.7,45.5,Heatwave
36.9,36.6,0.3,65.7,24.7,38.9,Normal
37.7,35.9,1.8,49.0,9.0,38.2,Normal
40.2,35.2,5.0,76.4,2.7,38.2,Heatwave
36.2,38.0,-1.7,37.6,5.8,37.1,Normal
44.8,38.4,6.5,44.9,11.1,43.3,Severe Heatwave
30.7,35.1,-4.4,67.2,9.3,31.2,Normal
44.3,37.6,6.7,52.8,4.2,42.6,Severe Heatwave
35.8,36.1,-0.3,52.8,12.0,35.4,Normal
38.4,38.2,0.2,23.2,9.8,38.0,Normal
30.3,35.9,-5.6,43.9,4.8,29.5,Normal
37.9,38.5,-0.6,36.2,8.8,37.5,Normal
34.3,36.9,-2.6,80.0,22.4,35.3,Normal
38.6,39.7,-1.1,38.5,8.9,37.8,Normal
36.2,35.7,0.5,73.1,18.4,36.8,Normal
41.1,36.7,4.4,60.6,16.1,40.1,Normal
37.3,35.6,1.7,40.5,11.8,37.1,Normal
41.7,39.6,2.1,52.6,7.5,42.0,Normal
36.6,39.4,-2.8,70.4,10.5,35.6,Normal
34.2,36.3,-2.1,73.0,15.6,32.9,Normal
45.6,38.3,7.3,29.6,10.1,46.1,Severe Heatwave
37.5,39.1,-1.6,40.4,6.9,38.6,Normal
